dBm:-40 dBm  Frequency:0.5 GHz Result = 2553-----[9, 249]
dBm:-40 dBm  Frequency:0.5 GHz Result = 2548-----[9, 244]
dBm:-40 dBm  Frequency:0.5 GHz Result = 2552-----[9, 248]
dBm:-40 dBm  Frequency:0.5 GHz Result = 2549-----[9, 245]
dBm:-40 dBm  Frequency:0.5 GHz Result = 2543-----[9, 239]
dBm:-40 dBm  Frequency:0.5 GHz Result = 2549-----[9, 245]
dBm:-40 dBm  Frequency:0.5 GHz Result = 2551-----[9, 247]
dBm:-40 dBm  Frequency:0.5 GHz Result = 2550-----[9, 246]
dBm:-40 dBm  Frequency:0.5 GHz Result = 2551-----[9, 247]
dBm:-40 dBm  Frequency:0.5 GHz Result = 2552-----[9, 248]
dBm:-40 dBm  Frequency:0.5 GHz Result = 2552-----[9, 248]
dBm:-40 dBm  Frequency:0.5 GHz Result = 2552-----[9, 248]
dBm:-40 dBm  Frequency:0.5 GHz Result = 2552-----[9, 248]
dBm:-40 dBm  Frequency:0.5 GHz Result = 2551-----[9, 247]
dBm:-40 dBm  Frequency:0.5 GHz Result = 2549-----[9, 245]
dBm:-40 dBm  Frequency:0.5 GHz Result = 2543-----[9, 239]
dBm:-40 dBm  Frequency:0.5 GHz Result = 2548-----[9, 244]
dBm:-40 dBm  Frequency:0.5 GHz Result = 2544-----[9, 240]
dBm:-40 dBm  Frequency:0.5 GHz Result = 2550-----[9, 246]
dBm:-40 dBm  Frequency:0.5 GHz Result = 2551-----[9, 247]
dBm:-40 dBm  Frequency:0.5 GHz Result = 2551-----[9, 247]
dBm:-40 dBm  Frequency:0.5 GHz Result = 2550-----[9, 246]
dBm:-40 dBm  Frequency:0.5 GHz Result = 2550-----[9, 246]
dBm:-40 dBm  Frequency:0.5 GHz Result = 2550-----[9, 246]
dBm:-40 dBm  Frequency:0.5 GHz Result = 2550-----[9, 246]
dBm:-40 dBm  Frequency:1 GHz Result = 2528-----[9, 224]
dBm:-40 dBm  Frequency:1 GHz Result = 2527-----[9, 223]
dBm:-40 dBm  Frequency:1 GHz Result = 2521-----[9, 217]
dBm:-40 dBm  Frequency:1 GHz Result = 2521-----[9, 217]
dBm:-40 dBm  Frequency:1 GHz Result = 2497-----[9, 193]
dBm:-40 dBm  Frequency:1 GHz Result = 2527-----[9, 223]
dBm:-40 dBm  Frequency:1 GHz Result = 2527-----[9, 223]
dBm:-40 dBm  Frequency:1 GHz Result = 2527-----[9, 223]
dBm:-40 dBm  Frequency:1 GHz Result = 2527-----[9, 223]
dBm:-40 dBm  Frequency:1 GHz Result = 2526-----[9, 222]
dBm:-40 dBm  Frequency:1 GHz Result = 2526-----[9, 222]
dBm:-40 dBm  Frequency:1 GHz Result = 2526-----[9, 222]
dBm:-40 dBm  Frequency:1 GHz Result = 2526-----[9, 222]
dBm:-40 dBm  Frequency:1 GHz Result = 2525-----[9, 221]
dBm:-40 dBm  Frequency:1 GHz Result = 2523-----[9, 219]
dBm:-40 dBm  Frequency:1 GHz Result = 2518-----[9, 214]
dBm:-40 dBm  Frequency:1 GHz Result = 2524-----[9, 220]
dBm:-40 dBm  Frequency:1 GHz Result = 2526-----[9, 222]
dBm:-40 dBm  Frequency:1 GHz Result = 2525-----[9, 221]
dBm:-40 dBm  Frequency:1 GHz Result = 2526-----[9, 222]
dBm:-40 dBm  Frequency:1 GHz Result = 2526-----[9, 222]
dBm:-40 dBm  Frequency:1 GHz Result = 2526-----[9, 222]
dBm:-40 dBm  Frequency:1 GHz Result = 2526-----[9, 222]
dBm:-40 dBm  Frequency:1 GHz Result = 2525-----[9, 221]
dBm:-40 dBm  Frequency:1 GHz Result = 2526-----[9, 222]
dBm:-40 dBm  Frequency:2 GHz Result = 2526-----[9, 222]
dBm:-40 dBm  Frequency:2 GHz Result = 2536-----[9, 232]
dBm:-40 dBm  Frequency:2 GHz Result = 2530-----[9, 226]
dBm:-40 dBm  Frequency:2 GHz Result = 2535-----[9, 231]
dBm:-40 dBm  Frequency:2 GHz Result = 2538-----[9, 234]
dBm:-40 dBm  Frequency:2 GHz Result = 2537-----[9, 233]
dBm:-40 dBm  Frequency:2 GHz Result = 2538-----[9, 234]
dBm:-40 dBm  Frequency:2 GHz Result = 2538-----[9, 234]
dBm:-40 dBm  Frequency:2 GHz Result = 2538-----[9, 234]
dBm:-40 dBm  Frequency:2 GHz Result = 2538-----[9, 234]
dBm:-40 dBm  Frequency:2 GHz Result = 2538-----[9, 234]
dBm:-40 dBm  Frequency:2 GHz Result = 2537-----[9, 233]
dBm:-40 dBm  Frequency:2 GHz Result = 2538-----[9, 234]
dBm:-40 dBm  Frequency:2 GHz Result = 2538-----[9, 234]
dBm:-40 dBm  Frequency:2 GHz Result = 2528-----[9, 224]
dBm:-40 dBm  Frequency:2 GHz Result = 2529-----[9, 225]
dBm:-40 dBm  Frequency:2 GHz Result = 2529-----[9, 225]
dBm:-40 dBm  Frequency:2 GHz Result = 2538-----[9, 234]
dBm:-40 dBm  Frequency:2 GHz Result = 2538-----[9, 234]
